Ward Number	Ward Name	Category	Assembly Constituency	Corporator Name	Population	Male	Female	Localities in the ward
185	Yelachenahalli Ward (Ward No:185)	Backward Category A	Bangalore South	K.Latha	28000	14896	13104	Ilyas Nagar, Kanaka Nagar, Geeta Colony, Yalchenhalli, Krishnadevaraya Nagar, Kashi Nagar, Anuradha Industrial Estate, Pratiba Industrial Estate, JC Industrial Layout, Bikasipura, Nanjappa Layout, Chandra Nagar
191	Singasandra Ward (Ward No:191)	General (Women)	Bommanahalli	B.S.Manjunath Reddy	21410	11669	9741	Chikk Beguru, AECS Layout, SRK Layout Green Garden Layout, Singasandra, Royal Homes Layout, HAL Layout, Vedanthachar Layout, Channakeshava Nagar, Electronic City, Vinayaka Nagar, GK Layout, Royal Country Layout, Sampangi Layout, Purappana Agrahar, Central Silk Board Employees Layout, Kudlu Veerappa Reddy Layout, Sai Shree Layout, Doctors Layout, Naganathapur, Bhuvaneshwar Layout, Infotech Layout, SMV layout, Kuppendra Reddy Nagar, Lake View Meenakshi layout
192	Begur Ward (Ward No:192)	Backward Category B	Bangalore South	K.Ramesh Babu	19287	9899	9388	Sushrshurthi Nagar, Basavapura, Marthi Layout, Dreams Paradise Layout, Sudhrashan Nagar, RR Layout, Pragathi Nagar, Chikkathoguru, Vishwapriya Nagar, Nobo Nagar, K Agrahara, Ramanashree Nagar, ITM Institute of Hotel Management, Suprithi Vinayaka Nagar, Ganapathi Nagar, Indra Prastha Colony, Dodda Kammanahalli, Kamakshi Layout, Lakshmi Layout, Varalakshmi Layout, Baraten Agrahar, Dodda Thoguru (P), Chikka Kammmanahalli, Smiriti Layout, Incity Layout, Thejashiwini Nagar 2nd Phase, Lotus Layout, Canara Bank Layout 2nd Stage, Malisandra, Value City, Akshaya Nagar, DFL Project New Town, Hugi Bande Garden, Classic Layout, Gyanappahalli, Begur, Duo Heights Layout, Chamundi Nagar, Devarachiknahalli, Royal Memorial Layout, Amaloodava Nagar, Mohan Layout, AECS Layout, HAL Layout, MICO Layout, Subhash Nagar, Residential Layout, Devendra Nagar, Viveknanda Nagar
194	Gottigere Ward (Ward No:194)	Backward Category B	Bangalore South	O.Manjunath	21526	11402	10124	JP Nagar 8th Phase, Brookes Heaven Layout, Lakshman Layout, Royal Country Layout, JP Nagar 8th Phase 2nd Block, Surbhi Nagar, SATG’s Layout, Nayak Layout, Pavamana Nagar, Rajadhadri Layout, Kotanur Dinne, Venkateshwara Layout, Bhagya Nagar, IDBI Layout, Meenakshi Layout, Raghavendra Swamy Layout, Bora Layout, Gundappa Layout, Vidya Sagar Layout, Royal Heritage Layout, Weavers Colony, Gottigere, Pillaganahalli
196	Anjanapur Ward (Ward No:196)	General	Bangalore South	Suguna Balakrishana	21080	10787	10293	Soudhamini Layout, Muneshwar Nagar, Avalahalli Colony, Vishaweshavaraiah Industrial Layout, Bank Officers Layout, BDA Layout, RB Raj Nagar, JP Nagar 9th Phase, Anjnapura, Anjnapura 2nd & 3rd Block, Anjnapura 7th 8th 10th&11th Block, Anjnapura Township 8th Block, Anjanpura - 4th - 5th - 5th G 6th Block, Jethendra Nagar, Kidwai Layout, Classic Layout, BDA Layout, Lakshmi Dorai Layout, Meenakshi Residency Layout, Galaxy Layout, South Avenue Residency Layout, Aditya Nagar
184	Uttarahalli Ward (Ward No:184)	Backward Category A	Bangalore South	L.Ramesh	21845	11461	10384	Hanumagiri Hill, Sriramachandrapur, Naidu Layout, Srisri Nagar, Anjaneyaswamy Layout, AGS Layout, Gaviyappa Thimmayya Layout, Best Club and Apartment, Purnapragna Layout, Hemavathi Layout, Kodipura, Vinayaka Layout, Uttarhalli, Srinivas Colony, Arehalli, Shridini Layout, Vaddarpalya, Simhadri Layout, Patel Munivenkatappa Layout, Vallab Nagar, Friends Colony, Subramanyapura, Saptagiri Layout, Dorai Kere, Rajanna Industries Layout, T Laxmayya Layout, Paramahansa Layout, Yadalam Nagar, Adi Narayan Colony, Bhuvaneshwari Nagar, Vasanthpura, Vinayaka Nagar Layout, Gubbalallu Layout, Huchappanpalya, Maruthi Nagar, Vasanth Vallaba Nagar 2nd Block, Raja Rajeshwari Layout, Jayanagar HBCS Layout, Turahalli, BSK 6th Stage 1st and 2nd blocks, Veeranjanaya Nagar, Golden Greens Layout, Bharat Housing Co-Operative Society Layout (P), Mogekere, Gubbalala, Happy Valley (P), Raja Gardenia (P)
195	Konanakunte Ward (Ward No:195)	General (Women)	Bangalore South	M.Roopa Ramesh	20181	10662	9519	Omshakthi Layout, Puttenahalli, Raghavendra Nagar, Eshwara Layout, RBI Colony, Nataraj Layout, Santhrupti Layout, Muniswamy Layout, Sun City Layout, South City Layout, Raghavendra Layout, Sai Enclave, Aradhana Layout, MS Ramaiah City, Kottanur Village, Krishna Nagar, Maruthi Nagar, Shreyas Colony, Navodhaya Nagar, Poornima Nagar, Nrupathunga Layout, Sankranti Layout, Gourava Nagar, JP Nagar 7th Phase, Annaporneshwari Nagar, Srinidhi Layout, Mysore Bank Colony, New Bank Colony, Chunchugatta, Patel Narayanswamy Layout, Mahendra Singh Layout, Konankunte
197	Vasanthapura Ward (Ward No:197)	General (Women)	Bangalore South	Sukanda	24522	13057	11465	Existing RR Nagar CMC ward No. 29 containing following localities:, Sarvabhouma Nagar, KSRTC Layout, Gaundanapalya (P), Canara Bank Colony, Chikallasandra (P), Part II: Maruthi Housing Society Layout, Devarakere Extension, Vittal Nagar, Vasanthpura, Prashanthi Nagar, Sharada Nagar, VV Nagar, Gokul Nagar, Vallabha Nagar, Kuvempu Nagar, Kailash Nagar, Naidu Layout, Siddanna Layout, Ganapathipura, Munireddy Layout, Doddakallasandra, Ayappa Nagar, HBCS 2nd Block, BDA Employees Layout, Kalyana Nagar, Brigade Residency
174	HSR Layout Ward (Ward No:174)	General (Women)	Bommanahalli	Sayad Haseen Taj	24749	13215	11534	HSR Layout 1 to 4 and 6 to 7 sectors, Sector 5 (P), Vinayaka Nagar, Yellukunte (P), BDA Layout, Parangi Palya, Vanganahalli, CPW quarters, Agara, Ibluru, Agara kere, Aralukunte
175	Bommanahalli Ward (Ward No:175)	General	Bommanahalli	Kavitha Babu	24307	13065	11242	Rupena Agrahara, Virat Nagar, Krishna Reddy Layout, Bommanahalli, Shamanna Reddy Layout, Basappa Layout, Seenappa Layout, Muneswara Layout (P), New Reddy Layout, Krishna Layout, Sri M Vishveswaraiah Colony, Rotary Nagar (P)
186	Jaraganahalli Ward (Ward No:186)	General (Women)	Bommanahalli	M.Srinivas	23299	12519	10780	Shivananda Nagar, Bheraveshwar Layout, Chikkaswamy Layout, Mahatma Gandhi Layout, Krishnamaraju Layout, Abbareddy Layout (P), JP Nagar 6th Phase, Govindappa Layout, Honneyappa Layout, Jyothi Layout, Jarganahalli, Sri Swamy Layout, Puttenhalli Kere
187	Puttenahalli Ward (Ward No:187)	Backward Category A	Bommanahalli	A.N.Purushotham	20544	11094	9450	JP Nagar 5th phase, Ayodhya Nagar, Ramaswamy Layout, Vinayaka Nagar, Anthappa Layout, Amalodbhavi Nagar (Doreswamypalya), KrishnamRaju Layout, Venkatadri Layout, Sahyadri Layout, Panduranga Nagar, Bob Layout, Achappa Layout, Baroda Bank Colony, Puttenhalli, Vinayaka Nagar, Abbaya Layout (P)
188	Bilekahalli Ward (Ward No:188)	General (Women)	Bommanahalli	S.K.Pushpa	22510	12050	10460	Kuvempu Nagar, Basavalingappa Layout, Bilekhalli, Anugrah Layout, IIM - Ragavendra Colony, Sunder Ramshetty Nagar, Shanbogh Nagappa Layout, Venugopal Layout, BTM Layout 4th Stage, Vijaya Bank Layout, Sri Satya Sai Layout, Doctors Layout, Rotary Nagar, Vijayshree Layout, Vakil Maria Layout, Kodi Chikkanhalli, Virat Nagar, Lake City, Sarvabhouma Nagar
189	Hongasandra Ward (Ward No:189)	Backward Category B	Bommanahalli	Shashirekha Jayaram	23058	12307	10751	Om Shakti Layout, NR Reddy Layout, Nandishwar Layout, Muniyappa Layout, MSR Layout, Munireddy Layout, Hongasandra, Mico Layout, Chamundi Nagar, SR Naidu Road, Golden Nagar, Kaveri Nagar, Manjunath Industrial Estate, Madina Nagar, Mangammanapalya (P)
190	Mangammanapalya Ward (Ward No:190)	Backward Category A (Women)	Bommanahalli	S.Gangadhar	27391	14625	12766	Mangammanapalya (P), Madina Nagar (P), Gangamma Layout, ITI Layout, Priyanka Layout, Muneshwarappa Layout, Bandepalya, Hosapalya, HSR 2nd sector, Somasamudrapalya, Muneshwar Layout, Abbayya Layout, Munireddy Layout, Lakshmi Layout, Raghavendra Layout, Garebhavi Palya
193	Arakere Ward (Ward No:193)	General	Bommanahalli	A.Vijaya	25003	13429	11574	mkar Nagar, Syndicate Bank Colony, Srinivaslu Layout, Vijayashree Layout, Mutturayaswamy Layout, Janatha Colony, Madhavan Colony, Hulimavu, Muneshwara Colony, Pai Layout, Shanthinikethan Housing Colony, Arakere Layout, BTS Layout, Hanuman Nagar, Arakere, Indira Priyadrshini Colony, Samarat Layout, Vijaya Layout, Jayamaruthi Layout, Indira Gandhi Housing Colony, Vysya Bank Layout, Pavani Shrungeri Nagar, Shirdi Sai Nagar, Nyanappanhalli, Lakshmi Layout, Majunath Layout, Arkere Mico Layout, Brindavan Extn., Hulimavu Kere
12	Shettyhalli Ward (Ward No:12)	Scheduled Caste (Women)	Dasarahalli	Sharadamma	28309	15023	13286	Abbigere, Myadarahalli, Chikkasandra, Shettihalli, Nisarga Layout, Abbigere kere, Someshwara Layout, Achappa Layout, Vijayalaxmi Layout, Abbigere Dinne, Abbigere Layout, Muniswamiappa Layout, V R Layout, Kalyana Nagar, Kala Nagar, Kammagondanahalli, Jalahalli West, Raghavendra Layout, Subramanya Layout, Sri Mahalaxmi Layout, Venkateshwara Layout, Vinayaka Layout, Kempe Gowda Garden, S M R Layout, Paschima County, R R Layout, Sandhya Nagar, Dasappana Palya, Athmiya Geleyara Balaga Layout, Sapthagiri Layout, Anjanadri Layout, M Babanna Layout, Mallasandra (P), Krishna Nagar, Lake View Defence Colony, Cauvery Layout, Nandana Nagar, Brindavana Layout, Maruthi Nagar, Chikkanna Layout, Byraveshwara Nagar
13	Mallasandra Ward (Ward No:13)	Backward Category A (Women)	Dasarahalli	R.P. Shashi	26253	14066	12187	Rajanna Layout, Mallasandra (P), Ravindra Nagar, Mathru Layout, Ayyappa Layout, BHEL Mini Colony, Kalayana Nagar, Prashanth Layout, Muneswara block
14	Bagalagunte Ward (Ward No:14)	General	Dasarahalli	B.R.Chandrashekar	28306	15159	13147	Sidedahalli, NMH Layout, Soundarya Layout, MHR Layout, Siddeshwar Layout, Meenakshi Garden Enclave, Kirloskar plots, Sampangi Layout, MEI Employees Housing Colony, Bagalakunte, Bagalakunte kere, Manjunath Nagar, Widia Kennametal industry, Defence Colony, Bhuvaneshwari Nagar, Havnoor Extension, M S Ramaiah Layout
15	T-Dasarahalli Ward (Ward No:15)	General (Women)	Dasarahalli	Puttamma	26050	14363	11687	Maheswari Nagar, T Dasarahalli, Om Colony
39	Chokkasandra Ward (Ward No:39)	Backward Category A	Dasarahalli	M.Muniswamy	30117	16821	13296	Vikas Nagara, Nagasandra Colony, Vidhya Nagar, Nagasandra, Rukmini Nagar, HMT Housing Colony, Amaravathi Layout, Chokkasandra, Netaji Nagar, Peenya Industrial Area II Phase, Nelagedaranahalli, Narayanapura, Vinayaka Nagar, Gruhalakshmi Housing Colony (P)
41	Peenya Industrial Area Ward (Ward No:41)	General	Dasarahalli	K.L.Thimma Nanjaiah	27467	15255	12212	Shivapura, Peenya Industrial Area III Phase, Dugalamma Colony, Parvathi Nagar, Rajeshwari Nagar, MEI Colony, Ganapathi Nagar, Peenya I Phase, Peenya IV Phase III Stage, Gruhalakshmi Housing Colony (P)
70	Rajagopala Nagar Ward (Ward No:70)	General	Dasarahalli	H.N.Gangadar	28604	15691	12913	Rajagopal Nagar, Byraveshwara Nagar, Rajarajeshwari Nagar, Kempegowda Housing Society, Shambhavi Nagar, Doddanna Industrial Estate, Indira Priyadarshani Nagar, Kapila Nagar, Annapoorna Nagar, Srigandha Nagar, Kareemsab Nagar
71	Hegganahalli Ward (Ward No:71)	General	Dasarahalli	M.V.Govinde Gowda	30889	16766	14123	Maruthi Nagar, Bairaveshwara Industrial estate, Lakshman Nagar, Hegganahalli, Sanjeevini Nagar, Gajanana Nagar, Sunkadakatte
50	Benniganahalli Ward (Ward No:50)	Scheduled Caste	C V Raman Nagar	N.Dayananda	31985	17006	14979	Gajendra Nagara, Old Bayappanahalli Ambedkar Nagar, Mallappa Garden, Sanjay Gandhi Nagar, Krishnaiahna Palya, Income Tax Layout, Yarratippaiah Layout, NGEF Hosnagara, Sadananda Nagar, Benniganahalli, Rajiv Nagar, Kasturi Nagar, Chikka Banasavadi, Pillareddy Nagar, Pulla Reddy Nagar, Doctor Layout, Lalbahaddur Nagar, Ramaiah Reddy Colony, B.Channasandra, Bacchanna Layout
57	C.V.Raman Nagar Ward (Ward No:57)	Backward Category A	C V Raman Nagar	Krishna M	29760	15822	13938	huvaneshwari Nagar, Maruthi Nagar, C V Raman Nagar, Jogapalya (Bairasandra), Abbaiappa Layout, Poojari Lakshmaiah Layout, Seenappa Layout, Patel K Marappa Layout, HAL Officer’s Enclave, Vishvavihar, LRDE Qtrs, Nagavara, Kagdasanapura, Malleshappan palya
58	Hosathippasandra Ward (Ward No:58)	General (Women)	C V Raman Nagar	Sumitra Vijayakumar	34577	18212	16365	Michal Palya, HAL III Stage Seethappa Colony, Venkateshwara Colony, Puttappa Colony, Bhumireddy Colony, Annayappa Colony, LIC Colony, Bairasandra, Krishnappa Garden, KG Colony, Garkamanta palya, Binamangala, BM Kaval, 515 Colony, Patel Seethappa Colony, New Tippasandra
79	Sarvagna Nagar Ward (Ward No:79)	Scheduled Caste	C V Raman Nagar	J.Bhuvaneshwari	34943	17879	17064	Sarvagna Nagar, Doddakunte, Kathlipalya, New Baiappanahalli extension, Krishnamurthy Nagar
80	Hoysala Nagar Ward (Ward No:80)	Scheduled Caste	C V Raman Nagar	Savitha Ramesh	35890	18041	17849	Jayarajanagar, Lakshmipura, Indiranagar 2nd Stage, Shastrinagar, Hutting Colony, Defence Colony, Hoysala Nagar (Murphy Town), Old Tippasandra, HAL 2nd stage (P)
88	Jeevanbhima Nagar Ward (Ward No:88)	Scheduled Caste	C V Raman Nagar	K. Chandra Shekar	36152	19021	17131	HAL 1st and 2nd stage (P), Kodihalli, Shivalingaya Colony, Anandapuram, Jeevanbhima Nagar, Sudham Nagar
113	Konena Agrahara Ward (Ward No:113)	General	C V Raman Nagar	M.Chandrappa Reddy	29344	15479	13865	Corporation Colony, Muniyellappa Graden, Rustum Bhag Layout, Rustum Bhag, N R Layout, Murgesh Palya, K R Garden, Vinayaka Nagar, Manjunath Layout, Sowmya Layout, Air View Colony, Raviprakash Nagar, MES Colony, Konena Agrahara, Ramagiri Nagar, Sriram Nagar, Amnamma Layout, Muniyappa Layout, Cauvery Nagar, BDA Colony, Nanjappa reddy colony
18	Radhakrishna Temple Ward (Ward No:18)	Backward Category A	Hebbal	D.Venkatesh	26211	13862	12349	Lottegollanahalli, Venkatachary Nagar, HIG North By Outer Ring road colony, RMV II stage, Dollar apartment, Krishna Layout, Amarajyothi Layout (P), Raj Mahal Vilas 2nd Stage 3rd Block, Naidu Layout (P), Judicial colony, AECS Layout, Jaladarshini Layout, Geddalahalli
19	Sanjay Nagar Ward (Ward No:19)	Backward Category B	Hebbal	M.N. Murthy	24178	12600	11578	Bhupasandra, Vinayaka Layout, Excise colony, RMS colony, Nagashettihalli, Yajamana Layout, AECS Layout, Sanjaya Nagar, BPEHCS Layout, Ramakrishnappa Layout, Naidu Layout (P), Amarjyothi Layout (P)
20	Ganga Nagar Ward (Ward No:20)	General	Hebbal	Ananda V	26256	13688	12568	UAS Campus, KEB Layout, UAS Staff Quarters, Vishveshvaraiah Nagar, Reserve Bank Colony, HMT Layout, Ganga Nagar, Venkappa Block, Gundappa Block
21	Hebbal Ward (Ward No:21)	General	Hebbal	C.R.Jayappa Reddy	24161	12560	11601	Hebbala, Kunti Betta, Chola Nagar, Amar Jyothi Layout, Chowdaiah Block, Anand Nagar Colony, UAS Quarters (P), MSH Layout, Anand Nagar
22	Vishwanathnagenahalli Ward (Ward No:22)	Backward Category B	Hebbal	Munirathma	25697	13594	12103	Gosaiya Slum, Guddahalli, V Nagenahalli, Yagappa Layout, Kanakanagar, IOE Layout, Cholanayakanahalli, Manorayanapalya (P)
33	Manorayanapalya Ward (Ward No:33)	Backward Category A (Women)	Hebbal	Gowjiya Begam	34777	18200	16577	Bhuvaneshwari Nagar, Chamundi Nagar, Dasappa Garden, Manorayanapalya (P), Kauser Nagar, HMT Layout, P & T Colony, Rahamat Nagar, Anandppa Block
34	Gangenahalli Ward (Ward No:34)	General	Hebbal	M.Nagaraj	24954	13128	11826	Ganganagar, Dena Bank Colony, Papanna block, Gangenahalli Extension, Mathadhalli Layout
46	Jayachamarajendra Nagar Ward (Ward No:46)	General	Hebbal	N.Govindaraju	30743	16353	14390	RT Nagar, Hanumanthappa Layout, Chunchappa Block, JC Nagar
31	Kushal Nagar Ward (Ward No:31)	General (Women)	Pulakeshinagar	Noorjhan Shareef	34046	17506	16540	Anwar block, Ashok Nagar, Kushal Nagar, Kadugondanahalli (P), P and T Colony, Chikkanna Layout, Muslim Colony, Muneshwar Nagar
32	Kavalbyrasandra Ward (Ward No:32)	General	Pulakeshinagar	Y.R.Gowramma	26550	13914	12636	Ranka Nagar, P and Colony (P), Srinivasa Layout, Quaters Colony, Bheemanna Layout, MM Layout, Ratan Singh Layout, Kaval Bairasandra, Nagappa Layout, AMC Layout, Muniveerappa Layout, HBR Layout 2nd Stage, Anand Layout, Shamannagowda Layout, Adarsh Nagar, Pioneer Defence Housing Colony, Appajappa Layout, Shampura New Extension, Ananda Gokula Layout, Krishnappa Layout, Kaveri Nagar, Sultanpalya
47	Devarajeevanahalli Ward (Ward No:47)	Scheduled Caste	Pulakeshinagar	R.Sampath Raj	33483	17296	16187	Modi Garden, Bangaragiri Layout, Doddanna Nagar, Devara Jeevanahalli, Military area
48	Muneshwara Nagar Ward (Ward No:48)	Scheduled Caste	Pulakeshinagar	S.Kriya Shalaja	30508	15557	14951	Muneshwara Nagar, Muneshwara Nagar A block, Ambedkar Nagar, Periyar Nagar, Periyar Nagar AK colony
60	Sagayapuram Ward (Ward No:60)	Scheduled Caste	Pulakeshinagar	V.Palaniyammal	34874	17525	17349	Bagalur Layout, Sagayapuram, Richords town, Lazar Layout
61	S.K.Garden Ward (Ward No:61)	Scheduled Caste	Pulakeshinagar	Devikarani Sridhar	33939	17387	16552	Waheed Garden, Pottery town, SK Garden, Devarajivanahalli (P), ITI Colony
78	Pulikeshi Nagar Ward (Ward No:78)	General	Pulakeshinagar	Abdul Rakheeb Zakhir	28149	13858	14291	Pulikeshinagar, Frazer Town, Claveland Town, Sindhi Colony, Railway Quarters (P)
23	Nagavara Ward (Ward No:23)	General (Women)	Sarvagna Nagar	Irshad Begam	35264	18216	17048	Govindapura, Byrappa Layout, Irshad Nagar, Nagavara, Nanjappa Layout, Shampura (P), Gandhi Nagar, Kadugondanahalli, Hidayath Nagar
24	HBR Layout Ward (Ward No:24)	Backward Category A	Sarvagna Nagar	B.Govinda Raju	32156	16506	15650	Byraveshawar Layout, Choudappa Layout, North Hennuru, Punappa Layout, HRBR layout 1st East block, HBR layout 2nd (P) - 3rd - 4th and 5th blocks, Nanjappa layout, Chennaiah layout
27	Banasawadi Ward (Ward No:27)	General	Sarvagna Nagar	A.Kodanda Reddy	31998	16634	15364	HRBR Layout 1st and 2nd (P) blocks, PNS Layout, Subbayya playa extention, Chowdeshwari Layout, Jai Jawan Nagar, Yerra Reddy Layout, Ex-Servicemen colony, Ramaiah Layout, Banasvadi, Dodda Banasvadi, Annaiah Reddy Layout, Vijaya Bank colony, OMBR Layout
28	Kammanahalli Ward (Ward No:28)	General	Sarvagna Nagar	M.C.Srinivas	34819	17925	16894	Kammanahalli, Ramaswamy Palya, Subbayya Palya, Maruthi Seva Nagar (P)
29	Kacharakanahalli Ward (Ward No:29)	General	Sarvagna Nagar	Padmanabha Reddy	29018	15037	13981	Kariyanna Palya, St. Thomas Town, Kammanahalli, Indra Nagar, Nagadevi Industrial area, Sena Vihar, Sait Palya, HBR 2nd - 3rd Layout, Keshav Nagar, Kacharkanahalli, Jalavayu vihar, Kalyana Nagar
30	Kadugondanahalli Ward (Ward No:30)	General (Women)	Sarvagna Nagar	Shaheen Thaj	34842	17902	16940	Kadugondanahalli, HRBR Layout 1st block, Narasimha Layout KG Halli, Venkateshpura, Pillanna Garden
49	Lingarajapura Ward (Ward No:49)	General (Women)	Sarvagna Nagar	Lavanya Ganesh Reddy	32375	16267	16108	Lingarajapura, Ramaswamy Palya
59	Maruthiseva Nagar Ward (Ward No:59)	Scheduled Caste	Sarvagna Nagar	R.Rajendran	35811	17862	17949	BL Rice Nagar (St. Thomas town), Balaji Layout, D’Costa Square, Cooks town, Vivekananda Nagar, Jai Bharathi Nagar, Sanjeevappa Layout, Jeevanahalli, ITC Colony, KHB Colony, Sathya Nagar, Maruthi Seva Nagar (P)
89	Jogupalya Ward (Ward No:89)	General	Shanthinagar	M.Gowtam Kumar	34611	17710	16901	Linagayanapalya, Jogupalya, Saraswatipura, G Street Laxamma Layout, Nandanavanam Streets, Doddayya Layout, Someswarapura Layout (p), Motappa Palya, Appareddy Palya, Shammana layout
111	Shanthala Nagar Ward (Ward No:111)	Backward Category A	Shanthinagar	Shivakumar K	30225	15570	14655	Shantala Nagar, Ashok Nagar, MEG area, Elagondanapalya, KSRP quarters, Victoria Layout, Austin Town (P), Xavier Layout, Langford Gardens, Richmond Town (P)
112	Dommalur Ward (Ward No:112)	General (Women)	Shanthinagar	Geetha Srinivas Reddy	34703	17827	16876	Indira Nagar, Dhupanahalli, Domlur, Domlur 1st Stage, Someshwarapura Layout
114	Agaram Ward (Ward No:114)	Scheduled Caste	Shanthinagar	Sarala	35632	20108	15524	Cambridge layout, Jeevan Kendra Layout, Goutampuram, Defence Area, Agram farm, Jayaraj Nagar, Victoria Layout, Maya Bazar, Police quarters, BDA flats
115	Vannarpet Ward (Ward No:115)	Scheduled Caste	Shanthinagar	Vijayan S	35532	17991	17541	Sonenahalli, Vannarpet, Viveknagar, Ambedkar Nagar, Austin Town (P), Abbayya Garden, Rose Garden, Muniyamma Garden, EWS Corporation flats (P), Yerrappa Garden (P)
116	Neelasandra Ward (Ward No:116)	Scheduled Tribe	Shanthinagar	Lokesh	36279	18953	17326	Nilasandra, Anepalya (P), Dr. Ambedkar Nagar, Muniswamy garden (P), Munigowda garden, EWS Corporation flats (P)
117	Shanthi Nagar Ward (Ward No:117)	General (Women)	Shanthinagar	P.Sowmya	36426	18672	17754	Shanthi Nagar, Richmond Town (P), Langford Town, Anepalya (P), Vinayaka Nagar, KSRTC quarters (P), B & C Colony, Lakshminyamma Garden, Jalakanteshwara Nagara, Muniswamy Garden (P), Akkitimmanahalli
