Ward Number	Ward Name	Category	Assembly Constituency	Corporator Name	Population	Male	Female	Localities in the ward
103	Kaveripura Ward (Ward No:103)	General	Govindrajnagar	R.Prakash	35256	19274	15982	Kamakshipalya Industrial Estate, Pete Chennappa Industrial Estate, Kaveripura Priyadarshini Layout, Ranganathpura, HVR Layout, Syndicate Bank Colony, Prashanth Nagar Colony, Sampige Layout, Rajiv Nagar, Srishaila Nagar, Muneswara Nagar, Pattigara Palya, Saraswathi Nagar
104	Govindraja Nagara Ward (Ward No:104)	Backward Category A	Govindrajnagar	Mohan Kumar	25773	13565	12208	Prashanth Nagar, Corporation Colony, BMP Colony, Govindaraja Nagar, Magadi Chord road Layout, Thimmenahalli, CHBS Layout, Binni Layout, Vijaya Nagar 1st Stage
105	Agrahara Dasarahalli Ward (Ward No:105)	Backward Category A (Women)	Govindrajnagar	Roopa Devi	26857	14141	12716	Indira Colony, West of Chord road 4th Stage, Agrahara Dasarahalli, Oddarapalya (P)
106	Dr.Rajkumar Ward Ward (Ward No:106)	General	Govindrajnagar	Ganga Byraiah	24752	13012	11740	Rajaji Nagar Industrial town, Oddarapalya (P), Rajaji Nagar 6th block, Police Colony
125	Marenahalli Ward (Ward No:125)	Backward Category A (Women)	Govindrajnagar	N.Shakuntala	20068	10430	9638	Amarjyothi Nagar, Saraswathi Nagar, Kanaka Nagar, Marenahalli
126	Maruthi Mandira Ward Ward (Ward No:126)	General	Govindrajnagar	V.Vagish	21784	11421	10363	Madhura Nagar, Vinayaka Layout, GKW Layout, Vijayanagar (P), Canara Bank Colony
127	Moodalapalya Ward (Ward No:127)	Backward Category A (Women)	Govindrajnagar	N.Shantha Kumari	24487	12816	11671	Panchasheela Nagar, Lakkappa Garden, Kurilingappa Garden, Annapurneshwari Nagar, Mudalapalya, Shantha Kaveri Gopala Nagar, Adarsha Nagar, Shakthi Nagar, Kalyana Nagar, Bairaveshwar Nagar
128	Nagarabhavi Ward (Ward No:128)	General	Govindrajnagar	K.Umesh Shetty	20269	10408	9861	Chalukya Nagar, Hoysala Nagar, Nagarabhavi, Manasa Nagar, Madhura Nagar, Anand Jyothi Nagar, BDA Layout, Chandra Layout, Ahamad Nagar (P), Teachers colony, Gangodanahalli
131	Nayandanahalli Ward (Ward No:131)	General (Women)	Govindrajnagar	H.S.Rajeshwari	22878	11987	10891	Nayandahalli, Chandra Layout Extension, Chandra Layout II Stage, Metro Layout, Dr. Ambedkar Nagar
168	Pattabhiram Nagar Ward (Ward No:168)	General	Jayanagar	C.K.Ramamurthy	30989	15751	15238	Jayanagar 4th Block, Pattabhirama Nagar, 4th T Block ( Tilak Nagar), Jayanagar 5th Block
169	Byrasandra Ward (Ward No:169)	Backward Category A	Jayanagar	N.Nagaraj	30638	15760	14878	Bairasandra Extension, Jayanagar 3rd Block East, Canara Bank Colony, BCC Layout, LIC Colony
170	Jayanagar East Ward (Ward No:170)	Backward Category A	Jayanagar	Muni Sanjeevaiah	30846	15964	14882	NAL Layout, URS Colony, Jayanagar 9th Block, KEB Colony, Vysya Bank Colony
171	Gurappanapalya Ward (Ward No:171)	General	Jayanagar	Mahamod Rijwan Nawab	35828	18839	16989	Bismilla Nagar, Tavarekere, Gurappanapalya, Maruthi HBS Layout, KEB Colony
177	J.P.Nagar Ward (Ward No:177)	Backward Category A	Jayanagar	N.Chandrashekar Raju	28508	14747	13761	JP Nagar 2nd Phase, JP Nagar 3rd Phase, JP Nagar 4th Phase (Sarakki Dollar Layout), Shivananda Sharma Memorial RV College
178	Sarakki Ward (Ward No:178)	General	Jayanagar	S,K.Nataraj	26707	13870	12837	Sarakki, JP Nagar 6th Phase, LIC Quarters
179	Shakambari Nagar Ward (Ward No:179)	Backward Category A	Jayanagar	B.Somashekar	23239	11733	11506	Jayanagar 8th Block, Jayanagar 5th Block, TMC Layout, J.P.Nagar 1st Phase, Shakambari Nagar
161	Hosakerehalli Ward (Ward No:161)	General	Padmanabhanagar	H.Narayan	21185	11041	10144	Banashankari 3 stage, Hosakerehalli, Dattatreya Nagar, Mookambika Nagar, Vidyhasagar, NCERT, PES Institute of technology
165	Ganeshmandira Ward Ward (Ward No:165)	Backward Category A	Padmanabhanagar	L.Govindaraju	23101	11988	11113	Banashankari 3rd Stage (p), Banashankari 2nd Stage, Kempegouda Institute Of Medical Science, BNM College
166	Karisandra Ward (Ward No:166)	General (Women)	Padmanabhanagar	Jyothishree Hari Reddy	30206	15445	14761	JayaNagar 7th Block, National College, Karisandra
167	Yadiyuru Ward (Ward No:167)	Backward Category A	Padmanabhanagar	S.R.Ramesh	34591	17857	16734	Byrappa Block, Krishna Block, Tyagaraj Nagar, Shastri Nagar, Yediyur, JayaNagar 6th Block, Gupta Layout, Vijayarangam Layout, City Centre Library
180	Banashankari Temple Ward Ward (Ward No:180)	General	Padmanabhanagar	Mahamad Ali	34022	17451	16571	Teacher’s Colony, Bhavani Nagar, Eshwar Nagar, Vivekanada Colony, Sarabanda Palya, Gangadhar Nagar, Yarab Nagar, Omarbhagh
181	Kumaraswamy Layout Ward (Ward No:181)	Backward Category A	Padmanabhanagar	H.Suresh	35384	18649	16735	Kadirenahalli, Bendre Nagar, Kumaraswamy layout 1st and 2nd stage, ISRO layout, Kanakagruha layout, Vsasudha Bhavan, Dayananda Sagar Engineering Collage
182	Padmanabha Nagar Ward (Ward No:182)	General	Padmanabhanagar	L.Srinivas	25454	13131	12323	Kattriguppe 4th phase (P), Padmanabhanagar, RK layout, Brundavana layout, Rajiv Nagar, Regional Institute of Co-operative management, Syndicate Bank colony, Bharat Housing Society layout, Gowdanapalya kere
183	Chikkalasandra Ward (Ward No:183)	General	Padmanabhanagar	B.S.Venkata Swamy	24677	12995	11682	Rangappa layout, Kattriguppe 3rd phase, Kattriguppe 4th phase, Chikkallasandra, Kamakya Theatre
122	Kempapura Agrahara Ward (Ward No:122)	Backward Category A (Women)	Vijayanagar	Nirmala	33736	17355	16381	Kempapura Agrahara (P), Mariyappana Palya
123	Vijay Nagar Ward (Ward No:123)	General	Vijayanagar	H.Ravindra	36077	19009	17068	Vijayanagar, Hosahalli Extension (P), Cholurpalya, Vidyaranya Nagar, Manjunath Nagar
124	Hosahalli Ward (Ward No:124)	Backward Category A	Vijayanagar	Dr.S.Raju	32103	16662	15441	Hosahalli Extension (P), Hosahalli, Vijayanagar 1st stage, DOS colony, Binny Layout, Ambedkar Layout, Telecom Layout, Chevappa Garden, Krishnappa Layout
132	Attiguppe Ward (Ward No:132)	General	Vijayanagar	K.Doddanna	26806	13989	12817	Dwaraka Nagar, Nisarga Layout, Maruthi Nagar, Bapuji Nagar, Basaveshwar HBCS Layout, Widia Layout, BHEL Township, Income Tax Layout, Attiguppe, Binny Mills Employees Colony, Agromar Layout, BCC Layout, Nethaji Layout, Laripalya
133	Hampi Nagar Ward (Ward No:133)	General	Vijayanagar	T.Chandrashekaraiah	30355	15716	14639	Hosahalli Extension, RPC Layout, Vijay Nagar 2nd Stage, Maruthi Nagar, Kavika Layout
134	Bapuji Nagar Ward (Ward No:134)	Backward Category A	Vijayanagar	V.Krishna	36234	18996	17238	Shamanna Nagar, Guddadahalli, Manjunath Nagar, Kuvempu Nagar, New Guddadahalli, Anatha Nagar, Bapuji Nagar, Chowdappa Layout
157	Gali Anjaneya Swamy Temple Ward Ward (Ward No:157)	General	Vijayanagar	B.S.Ananda	27264	14466	12798	Karithimmanahalli, Raghavendra Nagar, Sanjaya Nagar, Telecom Layout, Timber Yard Layout, Venkateshpura, Byatarayanapura, Muneswara block (P)
158	Deepanjali Nagar Ward (Ward No:158)	Backward Category A (Women)	Vijayanagar	Malathi	30924	16655	14269	Deepanjali Nagar, Patel Puttanna Industrial Estate, FCI Layout, Roshan Nagar, Muthachary Industrial Estate, Ganapathi Nagar, Avalahalli, Veerabhadra Nagar, KEB quarters, Raghavendra Colony
135	Padarayanapura Ward (Ward No:135)	General (Women)	Chamarajpet	Najani Begam	35213	18371	16842	Arafat Nagar, Vinayaka Nagar, Jai Bharat Nagar, Jagjivanram Nagar (P), Padarayanapura
136	Jagareevanram Nagar Ward (Ward No:136)	General (Women)	Chamarajpet	Seena Khanam	33758	17570	16188	Devaraj Urs Nagar, Goripalya, Old Guddadahalli, Jagajivanaram Nagar (P)
137	Rayapuram Ward (Ward No:137)	Scheduled Caste	Chamarajpet	C.S.Radha Krishna	32949	16928	16021	Padarayanpura (P), Rayapuram, Ranganath Colony, Jagjivanram Nagar (P), CAR Police Quarters (P)
138	Chalavadipalya Ward (Ward No:138)	Scheduled Caste	Chamarajpet	Rekha	25319	13181	12138	Sultan Nagar, Jai Bhumi Nagar, Anjanappa Garden, Siddharth Nagar, Doreswamy Nagar, Bhangi Colony, Chalavadipalya, CAR Police Quarters (P), Giripuram
139	K.R.Market Ward (Ward No:139)	Scheduled Caste	Chamarajpet	G.Aashwath Narayan	28514	14982	13532	Cottonpete, Ranasinghpete, Old Tharagupete, K R Market, New Tharagupete, Tippu Nagar
140	Chamrajpet Ward (Ward No:140)	Backward Category A	Chamarajpet	B.V.Ganesh	33398	17193	16205	Chamarajpet, Raghavendra Colony, Nanjamba Agrahara
141	Azad Nagar Ward (Ward No:141)	General (Women)	Chamarajpet	Gowramma	35741	18584	17157	Kasturba Nagar, Bhakta Markendeya Layout, Vittal Nagar, Adarsh Nagar, Azad Nagar, Madigarpalya (Valmiki Nagara), Ramchandra Agrahara
77	Dattathreya Temple Ward (Ward No:77)	General	Gandhinagar	R.S. Sathyanarayana	34236	17640	16596	Sudheendra Nagar, swimming pool extension, Kumara Park West
94	Gandhi Nagar Ward (Ward No:94)	General	Gandhinagar	S.Nataraj	35310	19566	15744	Seshadripuram, Ramakrishna Layout, Nehru Nagar, VV Giri Colony, Bangalore City, Kempegowda bus Stand, RK Puram, Gandhinagar, Upparpet, Chikpete (P)
95	Subhash Nagar Ward (Ward No:95)	Scheduled Caste	Gandhinagar	Mallesh T	35427	18163	17264	Jai Bhimanagar Slum, Swatantra Nagra, PNR North nagar, Srirampuram, Vivekanada Nagar, Hanumanthappa colony, Shastri Nagar, Railway station, Subhash Nagar
96	Okalipuram Ward (Ward No:96)	Scheduled Caste	Gandhinagar	Queen Elizabath	35875	18609	17266	Ramachandrapura, Hanumanthapura, Okalipuram, Kasturi Nagar, Gopalpura (P)
109	Chikpete Ward (Ward No:109)	General	Gandhinagar	A.L.Shivakumar	33698	17670	16028	Akkipete (P), Sowrashtrapete, Balepete, Chickpete (P), Anchepete, Huriupete, Mamoolpete, Ballapurpete, Cubbonpete, Ramanpete, K G Extension
120	Cottonpet Ward (Ward No:120)	Backward Category A (Women)	Gandhinagar	Vasantha Kumari	36582	19048	17534	Aswath Nagar, Keshav Nagar, Nagamma Nagar, SBI staff quarters, Akkipete (P), Sultanpete, Manavathipete, Cottonpete
121	Binnipet Ward (Ward No:121)	Backward Category A (Women)	Gandhinagar	Shree Vidya N	33946	17447	16499	Binnipete, Gopalapura (P), Kempapura Agrahara (P)
43	Nandini Layout Ward (Ward No:43)	Backward Category A	Mahalakshmi Layout	M.Nagaraj	34318	18113	16205	Kanteerava Studio, Jayachamaraja Layout, AGB Layout, Saraswathipuram, Nandini Layout, Jai Maruthi Nagar, Maruthi Nagar, SN Layout, Sriram Nagar, Gelayara Balaga Layout, Kurubarahalli, Panchadeepa Colony, Srinivas Nagar, Jaibhuvaneshwari Nagar, Kanteerava Nagar, Prameela Nagar
44	Marappana Palya Ward (Ward No:44)	General (Women)	Mahalakshmi Layout	Lakshmi Chikkegowda	34002	18108	15894	Gouthampura, RMC Yard, Marappana Palya, Mysore Sandal Soap Factory, Ashokpuram, Shankara Nagar, Corporation Bank Officers quarters, Krishnananda Nagar, Police Quarters Yashwanthpura Industrial Suburb (P)
67	Nagapura Ward (Ward No:67)	Backward Category A	Mahalakshmi Layout	S.Harish	35553	18268	17285	Rajajinagar Industrial Suburb, Geleyara Balaga Layout (P), West of Cord road 2nd Stage 1st Block, Ketmaranahalli
68	Mahalakshmipuram Ward (Ward No:68)	Backward Category B	Mahalakshmi Layout	S.Keshvamurthy	35976	19202	16774	Saraswathipuram, Mahalakshimpuram North Layout, SN Layout, AGB Layout, Maruthi Nagar, Geleyara Balaga Layout (P), Sriram Nagar
74	Shakthiganapathi Nagar Ward (Ward No:74)	General (Women)	Mahalakshmi Layout	Padmavathi Srinivas	34530	17953	16577	Basaveshwara Nagar, Kirloskar Colony, NGO’s Colony, BEML Layout, Shakthi Ganapati Nagar
75	Shankaramata Ward (Ward No:75)	General	Mahalakshmi Layout	M.Shivaraj	35679	18802	16877	Jayachamarajanagar, Kurubararahalli, SVKNagar, KHBS Layout, Shankarmatt, MGNagar, Jayachamarajendranagara, Sanjaygandhi nagar, Teacher’s Colony, SriVenkateshwara Krupa Layout
102	Vrushabhavathi Ward (Ward No:102)	Backward Category A (Women)	Mahalakshmi Layout	L.Nagarathna	34339	18654	15685	Kamala Nagar, Channigappa Layout, Sanakki Bayalu, Vrishabha Nagar, Vinayaka Nagar, Kamakshipalya, Maruthi Nagar
35	Aramane Nagar Ward (Ward No:35)	General	Malleshwaram	Dr.M.S.Shivaprasad	30397	16221	14176	M S Ramaiah Nagar, Indian Institute of Science (IISc) Campus, IAF Quarters, Sankey’s tank, Palace ground, Malleswaram (P), Ashwathnagar, AGS Officers Layout, ITI Layout, Sadashiva Nagar, RMV 2nd Stage 1st Block
36	Mathikere Ward (Ward No:36)	General	Malleshwaram	Muniswamy Gowda	35882	19092	16790	Sanjivappa Garden, Mattikere, Netaji Nagar, Mattikere Extension, Gokul Extension
45	Malleshwaram Ward (Ward No:45)	Backward Category A	Malleshwaram	N.Jayapala	36321	18994	17327	Malleswaram (P), Yashwanthpura, Subedharpalya, Nanjappa Reddy colony
64	Rajamahal Ward (Ward No:64)	General (Women)	Malleshwaram	M.Vijayakumari	33964	17243	16721	Vaiyyalikaval (P), Malleswaram (P), Rajamahal Guttahalli
65	Kadumalleshwara Ward (Ward No:65)	Backward Category A	Malleshwaram	G.Manjunath Raju	34053	16970	17083	Malleshwaram, Ranganathpuram, Vaiyyalikaval (P), Maruthi Nagar
66	Subramanya Nagar Ward (Ward No:66)	General (Women)	Malleshwaram	Shashikala Kiran	34883	17876	17007	Subramanya Nagar, Milk colony
76	Gayathri Nagar Ward (Ward No:76)	General (Women)	Malleshwaram	Chethana Gowda	35389	18360	17029	Gayithri Nagar, Sriramapuram North
97	Dayananda Nagar Ward (Ward No:97)	Scheduled Caste	Rajajinagar	Shakheel M	34595	17767	16828	Yarappa Block, Ambedkar Nagar, Venkateshwra AK Colony, Ramakrishna Seva Nagar, Dayananda Nagar
98	Prakash Nagar Ward (Ward No:98)	General	Rajajinagar	Ravindran	35465	18641	16824	Prakash Nagar
99	Rajaji Nagar Ward (Ward No:99)	Backward Category A	Rajajinagar	H.R. Krishnappa	33231	17221	16010	Adaranha Layout, Indira Nagar, Manjunath Nagar, Basaveshwara Nagar, KEB Quaters, Rajajinagar 2nd block
100	Basaveshwara Nagar Ward (Ward No:100)	Backward Category A	Rajajinagar	S.H.Padmaraju	27002	14204	12798	LIC colony, Manjunath Nagar 3rd stage, Saneguruvanahalli, Basaveshwara Nagar (P)
101	Kamakshipalya Ward (Ward No:101)	General	Rajajinagar	K.Ranganna	25742	13638	12104	BEML Layout, West of Chord Road I Stage, Meenakshi Nagar, Cauvery Nagar, KHB Colony, AK Colony, Ashtagrama, Karekallu, Kamakshipalya
107	Shiva Nagar Ward (Ward No:107)	General	Rajajinagar	Manjunath	35979	18940	17039	Shivanagar, Bovi Colony, West of Chord road 6th Phase, Maha Ganapathi Nagar, Rajaji Nagar 3rd Block
108	Sri Rammandira Ward (Ward No:108)	Backward Category A (Women)	Rajajinagar	M.G.Jayarathna	33613	17348	16265	Rajaji Nagar IV Block, Rajaji Nagar V Block, Rajaji Nagar VI Block (P), Jedehalli, 4M block SSI Industrial area, Bashyam Nagar, Gobbanna Industrial area
5	Jakkur Ward (Ward No:5)	General	Byatarayanapura	K.V.Munindra Kumar	20964	10906	10058	Kattigenahalli, Bellahalli, Srinivasapura, Thirumenahalli, Chokkanahalli, Astra Zenca Factory, Vinayaka Nagar, GL Raju colony, Thayamma layout, Ramanna Garden, Baba Nagar, Sri Krishna Garden, Defence Residency, Sri Balaji Residency, Kattigenahalli kere, Sapthagiri Layout (near Kattigenahalli kere), Kogilu, Kogilu kere, Tippu Nagar, Kogilu Layout, Vinayaka Layout, Gowdaramaiah layout, Kaliti muniswamappa layout, Prakruthi Layout, NKF Layout, Balihalli - MS Nagar, Marisondappa layout, Thirumenahalli layout, Thirumenahalli, Agrahara Layout, Krishna Nagar Enclave, Balaji Layout, Pooja Mahalaxmi Layout, Chamundi Layout, KPSC Layout, Vidhana Soudha Layout, Shivanahalli (P), Basaveshwara Nagar (P), Jakkur kere, Jakkur village (P), Sampigehalli, Arkavathi Layout 2nd 3rd & 7th blocks, Maruthi Layout, Somappa Layout, Agrahara, Agrahara kere, LHS Yelhanka Layout, Chokkanahalli layout, Noor Nagar, Thirumenahalli layout, Basavalingappa Nagar (P), MoC co-op society layout, G Gundappa Reddy Layout, Srirampura, Telecom Layout, MCEHS layout, MCHS Layout, Venkateshwara nagar
6	Thanisandra Ward (Ward No:6)	Backward Category A (Women)	Byatarayanapura	Lalitha Bayi	20402	10384	10018	Thanisandra, Rachenahalli, Dasarahalli, CAR Quarters, Balaji Krupa Layout, Basavalingappa Nagar (P), R K Hegde Nagar, Kaveri Nagar, Prashanth Nagar (P), Chowdappa Layout, Nandanavana Layout, BDS Layout, Sirdi Sai Rathan Layout, Railway mens layout, Vidya Layout, Bhagyashree Royal Layout, Chamundeswari Layout, Arogyappa Layout, Mestri Palya, Jingarappa Layout, Rachenahalli kere, Maruthi Layout, Prakruthi colony, Buvaneshwari Nagar, Mariyanna Palya, Nandana Residency Layout, Defence Layout, Defence enclave 2, Manyata Residential layout, Defence colony, Bharat Nagar, Sarai Palya, Ashwath Nagar, Settigere Muniyappa Layout, Amara Jyothi Layout, Krishnappa Layout, MCECHS Sanchar Nagar, Alankar Nagar (Sajid Nagar), Muninangappa Layout, Vidya Sagar Layout, Rasool Sab Layout, Tuba Layout, MS Ramaiah North city
7	Byatarayanapura Ward (Ward No:7)	Scheduled Tribe	Byatarayanapura	Indira	31400	16665	14735	UAS Teacher Layout, Jakkuru Aerodrome, Jakkuru (P), Shoba apartments, Arkavathy Layout Block I, Talakaveri Layout, Jakkuru Layout, L & T Layout, Hoysala Layout, Amruthalli, Muniswamiappa Layout, Amruth Nagar, Samruthi Nagar, Shabhari Nagar, Arkavathi Layout, Byatarayanapura, Hebbal Kempapura, Venkate gowda Layout, Pampa extension, Vinayaka Layout 1 and 2, Chiranjeevi Layout, Muniswamy gowda layout, Vayunandana Layout, Yogesh Layout, Kariyanna Layout, Nagavara Kere, Coffee Board layout, Vishveshwar Layout, Sahakara Nagar (P) A - E - F & G Blocks, Sanjeevini Nagar, Military Farm
8	Kodigehalli Ward (Ward No:8)	Backward Category B	Byatarayanapura	Ashwathnarayana Gowda	21635	11525	10110	Sahakara Nagar (P) B - C & D blocks -, CQAL layout, Kodigehalli village, Sonegowda Layout, Maruthi Nagar, AMCO Layout, Ashwathappa Layout, Shanbhog Narayanappa Layout, TATA Nagar, IISc Layout, Kannuramma Layout, Devi Nagar, Lottegollahalli, Maruthi Nagar (Near Ring road), Badrappa Layout, Balaji Layout, Hebbal Kere, Shantivana
9	Vidyaranyapura Ward (Ward No:9)	General (Women)	Byatarayanapura	K.Nandini	23136	12268	10868	GKVK Campus, M V Layout, Virupakshpura, Canara Bank Layout, Indian Express Layout, Buddha Jyothi Layout, Sonappa Layout, Maruthi Layout, Telecom Layout, Kempegowda Nagar, Muniswamiappa Layout, Basaveshwar Colony, Anjaneya Layout, Tindlu, Siddalingeshwar Layout, Vidyaranyapura 5th and 6th blocks, Srinidhi Layout, Balaji Layout, Dodda Bommasandra (P), Chikka Venkatappa Layout, Vidyaranayapura 1st -3rd and 4th blocks, M Venkataswamiappa Layout, Gurudarshan Layout, Jyaneshwari Layout, Tindlu kere, Sapthagiri Layout
10	Doddabommasandra Ward (Ward No:10)	General	Byatarayanapura	M.V.Pillappa	21640	11327	10313	Nanjappa Layout, Chamundeshwari Layout, Ramanna Layout, Mandamma Layout, Govindayyana Palya (P), Kempamma Layout, Hanuman Layout, Subbakka Layout, Dodda Bommasandra (P), Jayalakshamma Layout, Ranappa Dasappa Layout, Muneswara Layout, Vimana Layout, Kodigehalli kere, Nagaland Colony, BEL Quarters, BEL Colony, CRL - BEL Industrial estate, Vidyaranayapura 2nd block, BEL Layout
11	Kuvempu Nagar Ward (Ward No:11)	Backward Category A (Women)	Byatarayanapura	K.R.Yeshodamma	25295	13489	11806	Sudguru Layout, Kanshiram nagar, Anand Garden, Shingapura, Shingapura kere, Vinayaka Nagar, Varadharaja Nagar, Air Force area, Jalahalli East, Raghuram Layout, Ramachandrapura, Kalatturu Layout, Jarkhabandi State Forest, H V V Valley layout, Vishveswariah Enclave, Naidu Layout, Kuvempu Nagar, Venkatesh Nagar, Muniswamiappa Layout, Simhadri Layout, Govindayyana Palya (P), Raghavendra Colony, Defence Layout, Ganesh Layout, M S Palya, Gangammangudi
1	Kempegowda Ward (Ward No:1)	Backward Category B	Yelahanka	Y.N.Ashwath	21866	11490	10376	Govindapura, Kulappa Layout, Vasudevapura, Kendriya Vihar, Manchenahalli, Yelahanka (P), Yelhanka Airport Area, Maheshwari Nagar, Sai spring field colony, Gandhi Nagar, Lake view residency, Nehru Nagar, Venkatala, Surabhi Layout, Venkatappa Layout, Shobha Ultima villas, Venkatala Layout, Mantri township, Vikas layout, Yelahanka Kere, Shankaranna Layout, Sathyappa Anjanappa Kempamma Layout, Shivanahalli (P), Maruthi Nagar, Sapthagiri Layout (P), Jayanna Layout, Basaveshwara Nagar (P), Bhadranna Layout
2	Chowdeshwari Ward (Ward No:2)	Backward Category A (Women)	Yelahanka	K.V.Yeshoda	19626	10402	9224	Harohalli, Harohalli kere, Kanchenahalli, ISRO Layout, Naganahalli, Naganahalli new layout, KEB Layout Phase I, Balaji Layout, Vinayaka Layout, Ramanashree Califonia East Garden layout, Deo Marvel Layout, Mahalaxmi Layout, Nisarga Layout, CRPF Quarters, Puttanahalli, Puttanahalli kere, Monte Carlo apartment, DG staff quarters, Central excise quarters, Wheel and Axle plant, FM Goetze plant, Chowdeswari Layout, Kamakshiamma Layout, East Colony, Yelahanka (P), KHB Colony
3	Attur Ward (Ward No:3)	General (Women)	Yelahanka	Geetha Shashikumar	24020	13129	10891	Ananthapura, Chikka Bettahalli, Dodda Bettahalli, Bharat Nagar (MS Palya), Chandrappa Layout, Hill side meadows layout, Sai Nagar Phase I and II, Basavalingappa Layout, Netravathi Layout (P), Sai orchards, Best country 3, G Ramaiah Layout, Jyothi Nagar, GPF Layout, Muneshwara Layout 1st and 2nd Phases, Hariraju Layout, Vaderahalli kere, AMS Layout, Veerasagara kere, Thirumala Nagar, Atturu Layout, Muneshwara Layout (Atturu), Ananda Nagar, Atturu, Atturu kere, KHB apartments, Yelahanka 4th and 5th Stages, 208-SFS colony, Central excise and custom staff quarters, Air force quarters, Yelahanka new town, KSIDC industrial estate, WAP staff quarters
4	Yelahanka Satellite Ward (Ward No:4)	Backward Category A	Yelahanka	M.Muniraju	25782	13457	12325	Udaya Layout, Mother Dairy, Soma Nagar, Janata colony, Chikka Bommasandra, Yelahanka Salellite town, ABC quarters, Ambedkar colony, Allalsandra, Allalsandra kere, Judicial Layout, GKVK compus (P), Judicial colony
